;VARIANZAS;RANGOS;SMAS;PROMEDIOS;SILIBANCIAS;ESTERTORES
1273;0.003567008;0.6516;0.123443;1.07E-05;0;0
1274;0.003292196;0.52134;0.140315;9.79E-06;0;0
1275;0.002875142;0.54373;0.125477;8.29E-06;0;0
1276;;;;;;
1277;0.000122396;0.09608;0.014409;3.62E-07;0;1
1278;0.000165525;0.11764;0.02388;4.85E-07;0;1
1279;0.000114582;0.09259;0.022589;3.34E-07;0;1
1280;0.000128487;0.09448;0.021494;3.83E-07;0;1
1281;0.000121275;0.10607;0.023964;3.55E-07;0;1
1282;0.000126109;0.10239;0.017166;3.72E-07;0;1
1283;0.000129523;0.10173;0.019971;3.84E-07;0;0
1284;0.000101843;0.09154;0.020031;2.99E-07;0;1
1285;;;;;;
1286;0.000802862;0.3329;0.069299;2.34E-06;1;0
1287;0.000827002;0.33144;0.087109;2.48E-06;1;0
1288;0.000736164;0.28187;0.077197;2.17E-06;1;0
1289;0.000761897;0.31459;0.081733;2.25E-06;1;0
1290;0.000771567;0.26847;0.072382;2.26E-06;1;0
1291;0.000794777;0.31445;0.081734;2.30E-06;1;0
1292;0.000790466;0.30513;0.075105;2.29E-06;1;0
1293;0.000725077;0.29029;0.072069;2.17E-06;1;0
1294;;;;;;
1295;0.000654617;0.24987;0.080747;1.87E-06;1;0
1296;0.000710742;0.2303;0.060548;2.06E-06;1;0
1297;0.000661859;0.23926;0.079746;1.91E-06;1;0
1298;0.000528151;0.2012;0.063166;1.54E-06;1;0
1299;0.000598833;0.27948;0.063634;1.76E-06;0;0
1300;0.000503004;0.21962;0.060572;1.48E-06;0;0
1301;0.000630296;0.26008;0.07889;1.74E-06;1;0
1302;0.000639506;0.26699;0.081054;1.85E-06;1;0
1303;;;;;;
1304;0.000143235;0.10436;0.034461;4.04E-07;1;0
1305;0.000134217;0.11542;0.036026;3.95E-07;1;0
1306;0.000182008;0.11423;0.033725;5.39E-07;1;0
1307;0.000116615;0.11688;0.031265;3.35E-07;1;0
1308;0.000126274;0.10665;0.032062;3.65E-07;1;0
1309;0.000164288;0.12462;0.037149;4.73E-07;1;0
1310;0.000138725;0.1178;0.032848;4.14E-07;1;0
1311;0.000127191;0.12367;0.027877;3.60E-07;1;0
1312;;;;;;
1313;0.000158954;0.1068;0.034624;4.67E-07;1;0
1314;0.000154364;0.11341;0.03019;4.45E-07;1;0
1315;0.000142176;0.12739;0.036568;4.14E-07;1;0
1316;0.000125111;0.12105;0.037965;3.68E-07;1;0
1317;0.000110991;0.10087;0.030848;3.25E-07;1;0
1318;0.000118488;0.10993;0.026355;3.49E-07;1;0
1319;0.000105859;0.11416;0.033446;3.08E-07;1;0
1320;0.000109635;0.11444;0.032299;3.30E-07;1;0
1321;;;;;;
1322;0.002544967;0.6205;0.109425;7.40E-06;1;0
1323;0.002523373;0.45463;0.119544;7.16E-06;1;0
1324;0.002841294;0.53806;0.124276;8.35E-06;1;0
1325;0.002562202;0.47547;0.117609;7.40E-06;1;0
1326;0.00250925;0.57397;0.113032;7.12E-06;1;0
1327;0.002183888;0.49573;0.128619;6.10E-06;1;0
1328;0.002485436;0.47625;0.121205;7.00E-06;1;0
1329;0.002618203;0.44762;0.113831;7.55E-06;1;0
1330;;;;;;
1331;0.000757539;0.28993;0.057112;2.20E-06;1;0
1332;0.000727767;0.22633;0.049133;2.10E-06;1;0
1333;0.000726347;0.28286;0.062283;2.10E-06;1;0
1334;0.000736967;0.29428;0.078184;2.17E-06;1;0
1335;0.000711433;0.32053;0.074848;2.16E-06;1;0
1336;0.000737783;0.26434;0.058767;2.13E-06;1;0
1337;0.000670343;0.25494;0.068909;1.99E-06;1;0
1338;0.000741214;0.28859;0.062121;2.18E-06;1;0
1339;;;;;;
1340;4.90E-05;0.08007;0.017098;1.44E-07;0;0
1341;4.62E-05;0.06979;0.014847;1.37E-07;0;0
1342;2.70E-05;0.06017;0.014556;7.90E-08;0;0
1343;3.20E-05;0.06055;0.01455;9.78E-08;0;0
1344;2.38E-05;0.06346;0.018278;6.92E-08;0;0
1345;2.64E-05;0.05291;0.014205;7.85E-08;0;0
1346;2.29E-05;0.06584;0.013854;6.49E-08;0;0
1347;2.53E-05;0.05;0.013356;7.54E-08;0;0
1348;;;;;;
1349;0.000606008;0.18047;0.058597;1.78E-06;0;0
1350;0.000780078;0.22859;0.066087;2.31E-06;1;0
1351;0.000962801;0.39671;0.091628;2.81E-06;1;0
1352;0.001018365;0.31857;0.108746;3.01E-06;1;0
1353;0.000991574;0.3207;0.095626;2.94E-06;1;0
1354;0.000799359;0.27948;0.084758;2.32E-06;1;0
1355;0.000965461;0.33887;0.109532;2.90E-06;1;0
1356;0.000881763;0.24728;0.069174;2.56E-06;1;0
1357;0.000682994;0.27545;0.078607;2.04E-06;1;0
1358;;;;;;
1359;0.000577137;0.25009;0.065676;1.56E-06;0;0
1360;0.000800665;0.25945;0.074874;2.26E-06;1;0
1361;0.000872036;0.25378;0.074534;2.60E-06;1;0
1362;0.000870042;0.27334;0.072369;2.59E-06;1;0
1363;0.00101625;0.28009;0.080069;2.99E-06;1;0
1364;0.000847124;0.30735;0.08797;2.40E-06;1;0
1365;0.000716154;0.26232;0.090193;2.04E-06;1;0
1366;0.000700566;0.2541;0.059948;2.01E-06;1;0
1367;0.00074202;0.28563;0.090379;2.15E-06;1;0
1368;;;;;;
1369;4.07E-05;0.08082;0.024441;1.18E-07;1;0
1370;6.77E-05;0.07603;0.02441;2.00E-07;1;0
1371;8.73E-05;0.08725;0.024458;2.56E-07;1;0
1372;8.71E-05;0.0819;0.020297;2.58E-07;1;0
1373;6.78E-05;0.08819;0.020358;1.94E-07;1;0
1374;6.43E-05;0.07741;0.022863;1.90E-07;1;0
1375;5.53E-05;0.0753;0.019195;1.57E-07;1;0
1376;7.16E-05;0.08011;0.025569;2.06E-07;1;0
1377;7.12E-05;0.08023;0.025358;2.09E-07;1;0
1378;;;;;;
1379;6.57E-05;0.0748;0.020563;1.88E-07;0;0
1380;0.000151077;0.12429;0.035034;4.33E-07;1;0
1381;0.000178416;0.11682;0.03501;5.41E-07;1;0
1382;0.000116664;0.12511;0.034888;3.45E-07;1;0
1383;0.00013034;0.10843;0.032983;3.85E-07;1;0
1384;0.000144393;0.11134;0.037104;4.31E-07;1;0
1385;0.000134741;0.11659;0.028887;3.99E-07;1;0
1386;0.000122276;0.12877;0.030345;3.62E-07;1;0
1387;0.000120241;0.12291;0.030778;3.60E-07;1;0
1388;;;;;;
1389;0.000615964;0.20718;0.048754;1.81E-06;1;0
1390;0.000640237;0.25409;0.06181;1.83E-06;1;0
1391;0.000683002;0.22302;0.051057;1.92E-06;1;0
1392;0.000559207;0.21565;0.049937;1.62E-06;1;0
1393;0.000732523;0.25296;0.068588;2.06E-06;1;0
1394;0.00068863;0.25309;0.070052;1.99E-06;1;0
1395;0.000573482;0.23598;0.066833;1.66E-06;1;0
1396;0.000625531;0.2437;0.073381;1.79E-06;1;0
1397;0.00060137;0.2251;0.063152;1.75E-06;1;0
1398;;;;;;
1399;0.001540479;0.32522;0.091895;4.71E-06;1;0
1400;0.001180541;0.32267;0.073024;3.36E-06;1;0
1401;0.000917665;0.24586;0.060203;2.74E-06;1;0
1402;0.000864694;0.30318;0.058348;2.56E-06;1;0
1403;0.000995154;0.2609;0.075865;2.87E-06;1;0
1404;0.000836878;0.27586;0.059386;2.44E-06;1;0
1405;0.000754223;0.2559;0.060255;2.19E-06;1;0
1406;0.000802505;0.28535;0.077632;2.27E-06;1;0
1407;0.000824532;0.27623;0.063625;2.35E-06;1;0
1408;;;;;;
1409;3.62E-05;0.05188;0.013661;1.10E-07;0;0
1410;3.19E-05;0.05621;0.016165;9.34E-08;0;0
1411;2.84E-05;0.05222;0.015302;8.49E-08;0;0
1412;2.10E-05;0.05273;0.011266;6.36E-08;0;0
1413;2.49E-05;0.04796;0.012611;7.36E-08;0;0
1414;2.66E-05;0.05649;0.015096;8.00E-08;0;0
1415;2.66E-05;0.05632;0.014073;7.91E-08;0;0
1416;3.08E-05;0.05597;0.013431;9.02E-08;0;0
1417;1.75E-05;0.04011;0.011038;5.19E-08;0;0
1418;;;;;;
1419;0.000424459;0.15468;0.037502;1.19E-06;0;0
1420;0.000783907;0.2224;0.060454;2.32E-06;1;0
1421;0.000786003;0.25803;0.083182;2.37E-06;1;0
1422;0.000738156;0.28834;0.079179;2.26E-06;1;0
1423;0.000769873;0.27258;0.073878;2.32E-06;1;0
1424;0.000826047;0.29837;0.073181;2.49E-06;1;0
1425;0.000890153;0.2799;0.07295;2.60E-06;1;0
1426;0.000736999;0.26719;0.077867;2.22E-06;1;0
1427;0.000785883;0.28193;0.07602;2.30E-06;1;0
1428;;;;;;
1429;0.000394345;0.23357;0.07347;9.61E-07;1;0
1430;0.000809598;0.28376;0.082041;2.31E-06;1;0
1431;0.000681615;0.21736;0.060557;1.92E-06;1;0
1432;0.000716942;0.25292;0.075281;2.12E-06;1;0
1433;0.000576214;0.22383;0.063942;1.69E-06;1;0
1434;0.000559072;0.21546;0.050146;1.61E-06;1;0
1435;0.000686579;0.26667;0.068688;1.95E-06;1;0
1436;0.000681218;0.22568;0.064622;2.01E-06;1;0
1437;0.00060061;0.22065;0.05077;1.76E-06;1;0
1438;;;;;;
1439;3.24E-05;0.07119;0.022141;9.24E-08;0;0
1440;6.52E-05;0.08322;0.023274;1.88E-07;1;0
1441;5.07E-05;0.07528;0.023862;1.47E-07;1;0
1442;6.01E-05;0.08716;0.019969;1.80E-07;1;0
1443;5.55E-05;0.08121;0.023597;1.66E-07;1;0
1444;5.43E-05;0.07112;0.022759;1.62E-07;1;0
1445;6.91E-05;0.07847;0.021536;2.00E-07;1;0
1446;6.00E-05;0.07742;0.021953;1.80E-07;1;0
1447;4.92E-05;0.06404;0.018537;1.47E-07;1;0
1448;;;;;;
1449;9.49E-05;0.09751;0.028895;2.75E-07;0;0
1450;0.000136021;0.09967;0.028815;4.00E-07;1;0
1451;0.000119995;0.11357;0.032877;3.56E-07;1;0
1452;0.000149118;0.11819;0.032815;4.45E-07;1;0
1453;0.000164976;0.11396;0.036849;4.93E-07;1;0
1454;0.000131051;0.12105;0.029935;3.87E-07;1;0
1455;0.000159106;0.12578;0.043661;4.75E-07;1;0
1456;0.000162727;0.11945;0.036041;4.88E-07;1;0
1457;0.000126462;0.11652;0.034052;3.71E-07;1;0
1458;;;;;;
1459;0.000413057;0.20792;0.057576;1.21E-06;0;0
1460;0.000518831;0.19751;0.057916;1.47E-06;1;0
1461;0.000476401;0.20176;0.048203;1.32E-06;1;0
1462;0.00050869;0.23002;0.054414;1.45E-06;1;0
1463;0.000470987;0.20403;0.044798;1.42E-06;1;0
1464;0.00045116;0.19435;0.049984;1.31E-06;0;1
1465;0.00058412;0.22477;0.055668;1.71E-06;1;0
1466;0.000528634;0.21544;0.050178;1.50E-06;1;0
1467;0.000518915;0.22886;0.062183;1.51E-06;0;0
1468;;;;;;
1469;0.012145126;1.06811;0.25699;3.54E-05;1;0
1470;0.009404471;0.88484;0.273634;2.75E-05;1;0
1471;0.011453929;1.02117;0.240506;3.22E-05;1;0
1472;0.010998194;1.22005;0.310772;3.26E-05;1;0
1473;0.01086036;0.94429;0.249917;3.06E-05;1;0
1474;0.010369917;1.14999;0.281137;3.15E-05;1;0
1475;0.011580594;0.98926;0.219517;3.33E-05;1;0
1476;0.014214559;1.02036;0.261658;4.26E-05;1;0
1477;0.00834397;0.68096;0.182786;2.44E-05;1;0
1478;0.012262523;1.16398;0.254387;3.61E-05;1;0
1479;;;;;;
1480;0.002858748;0.76258;0.169864;8.47E-06;1;0
1481;0.004568151;0.61644;0.153312;1.31E-05;1;0
1482;0.005431295;0.64901;0.142054;1.63E-05;1;0
1483;0.00500965;0.72092;0.152791;1.51E-05;1;0
1484;0.00551745;0.65669;0.179313;1.59E-05;1;0
1485;0.005350933;0.63831;0.168416;1.55E-05;1;0
1486;0.004080726;0.63534;0.156036;1.19E-05;1;0
1487;0.005842356;0.64702;0.162654;1.72E-05;1;0
1488;0.005409422;0.66182;0.1526;1.61E-05;1;0
1489;0.006052846;0.66786;0.165872;1.88E-05;1;0
1490;0.00196258;0.30869;0.068615;5.68E-06;1;1
1491;;;;;;
1492;0.001189137;0.29226;0.070274;3.49E-06;1;0
1493;0.000924394;0.293;0.076846;2.71E-06;1;0
1494;0.000719126;0.28525;0.06566;2.12E-06;1;0
1495;0.000937168;0.31641;0.070286;2.79E-06;1;0
1496;0.000862277;0.32802;0.082022;2.53E-06;1;0
1497;0.001276822;0.3179;0.071059;3.76E-06;1;0
1498;0.001167619;0.29767;0.100323;3.45E-06;1;0
1499;0.00097672;0.31315;0.079016;2.87E-06;1;0
1500;0.000913042;0.33029;0.067674;2.64E-06;1;0
1501;0.000741431;0.29884;0.069792;2.20E-06;1;0
1502;0.001028549;0.22336;0.04996;3.23E-06;0;0
1503;;;;;;
1504;0.001033797;0.30939;0.069612;3.01E-06;1;0
1505;0.001222958;0.41041;0.088296;3.48E-06;1;0
1506;0.001165283;0.31304;0.079948;3.45E-06;1;0
1507;0.001559341;0.32468;0.077711;4.46E-06;1;0
1508;0.00135285;0.30402;0.077266;3.88E-06;1;0
1509;0.001543359;0.36126;0.081662;4.60E-06;1;0
1510;0.001347095;0.3556;0.080614;3.93E-06;0;0
1511;0.001211217;0.35228;0.074415;3.59E-06;1;0
1512;0.001650087;0.33791;0.082273;4.83E-06;1;0
1513;0.000564248;0.25194;0.050073;1.61E-06;1;0
1514;0.002423612;0.31795;0.078885;6.79E-06;0;0
1515;;;;;;
1516;0.000535431;0.16679;0.040501;1.58E-06;1;0
1517;0.000534458;0.16644;0.038249;1.59E-06;1;0
1518;0.00049942;0.21214;0.04359;1.46E-06;1;0
1519;0.000573687;0.20937;0.064335;1.71E-06;1;0
1520;0.000291492;0.17846;0.04593;8.85E-07;1;0
1521;0.000202348;0.17278;0.047382;6.01E-07;1;1
1522;0.000310842;0.18765;0.039425;9.25E-07;1;0
1523;0.000260831;0.17323;0.040492;7.62E-07;1;1
1524;0.000298585;0.18981;0.045271;8.76E-07;1;0
1525;0.000416312;0.22326;0.048814;1.22E-06;1;0
1526;0.000442852;0.14473;0.04265;1.29E-06;1;0
1527;;;;;;
1528;0.000174295;0.09964;0.022277;5.02E-07;1;0
1529;0.000189112;0.10645;0.029235;5.50E-07;1;1
1530;0.000171858;0.09418;0.022965;5.11E-07;1;0
1531;0.000181313;0.09735;0.022942;5.35E-07;1;0
1532;0.000176898;0.10597;0.020662;5.16E-07;1;0
1533;0.000188136;0.09523;0.022385;5.56E-07;1;0
1534;0.000199484;0.12112;0.031182;5.84E-07;1;0
1535;0.000207148;0.11858;0.026408;6.07E-07;1;0
1536;0.000205551;0.14;0.031435;5.95E-07;1;0
1537;0.000192188;0.108;0.023372;5.62E-07;1;0
1538;0.000172737;0.08742;0.020204;4.90E-07;1;0
1539;;;;;;
1540;6.57E-05;0.07349;0.011992;1.92E-07;0;0
1541;7.41E-05;0.06251;0.010552;2.20E-07;1;0
1542;6.76E-05;0.05385;0.011873;1.99E-07;1;0
1543;6.76E-05;0.05163;0.009952;1.98E-07;1;0
1544;7.21E-05;0.05583;0.011267;2.07E-07;1;0
1545;7.13E-05;0.05564;0.012966;2.08E-07;1;0
1546;7.55E-05;0.06521;0.010922;2.20E-07;1;0
1547;6.95E-05;0.05277;0.010215;2.01E-07;1;1
1548;6.55E-05;0.05353;0.010701;1.92E-07;1;0
1549;6.74E-05;0.05257;0.011268;1.95E-07;0;0
1550;7.38E-05;0.05368;0.01097;2.21E-07;0;0
1551;;;;;;
1552;0.000346155;0.16069;0.045652;1.02E-06;1;0
1553;0.000268302;0.16338;0.04331;8.00E-07;1;0
1554;0.000268941;0.14481;0.042642;8.00E-07;1;0
1555;0.000268811;0.16143;0.0415;7.87E-07;1;0
1556;0.000226597;0.1297;0.037722;6.54E-07;1;0
1557;0.000105216;0.08008;0.01604;3.05E-07;0;0
1558;;;;;;
1559;1.45E-05;0.03591;0.01129;4.24E-08;0;0
1560;1.24E-05;0.04042;0.012426;3.64E-08;0;0
1561;1.10E-05;0.04043;0.01316;3.22E-08;0;0
1562;9.83E-06;0.0324;0.00903;2.81E-08;0;0
1563;6.28E-06;0.02955;0.009136;1.88E-08;0;0
1564;;;;;;
1565;3.82E-06;0.01902;0.004677;1.11E-08;0;0
1566;3.30E-06;0.02179;0.006085;9.81E-09;0;0
1567;3.68E-06;0.02001;0.004768;1.09E-08;0;0
1568;3.78E-06;0.02225;0.004525;1.13E-08;0;0
1569;6.81E-06;0.02042;0.005214;1.94E-08;0;0
1570;;;;;;
1571;1.08E-05;0.02839;0.007394;3.21E-08;1;0
1572;8.32E-06;0.03093;0.006806;2.47E-08;1;0
1573;6.42E-06;0.03278;0.008749;1.84E-08;1;0
1574;6.34E-06;0.02696;0.007016;1.89E-08;1;0
1575;2.67E-06;0.01467;0.004079;7.75E-09;1;0
1576;;;;;;
1577;0.000121034;0.11038;0.031682;3.54E-07;1;0
1578;0.000107483;0.12628;0.038114;3.15E-07;1;0
1579;9.52E-05;0.09331;0.023536;2.77E-07;1;0
1580;8.28E-05;0.11083;0.03061;2.47E-07;1;0
1581;4.75E-05;0.07922;0.023075;1.39E-07;1;0
1582;;;;;;
1583;2.78E-05;0.05315;0.013929;8.24E-08;1;0
1584;2.27E-05;0.0513;0.014009;6.63E-08;1;0
1585;2.20E-05;0.05729;0.016052;6.36E-08;1;0
1586;2.38E-05;0.05943;0.013818;6.93E-08;1;0
1587;1.30E-05;0.04091;0.012011;4.02E-08;1;0
1588;;;;;;
1589;0.000678138;0.27168;0.08007;1.99E-06;1;0
1590;0.000913789;0.29498;0.105815;2.76E-06;1;0
1591;0.000795439;0.34286;0.066955;2.30E-06;1;0
1592;0.00095604;0.28555;0.071431;2.86E-06;1;0
1593;0.000865549;0.28122;0.082738;2.55E-06;1;0
1594;0.00081097;0.28896;0.078296;2.37E-06;1;0
1595;0.001555407;0.31369;0.083747;4.50E-06;1;0
1596;;;;;;
1597;0.000157175;0.09754;0.028066;4.67E-07;0;0
1598;0.000128615;0.10273;0.023789;3.79E-07;1;0
1599;0.000193392;0.1037;0.03087;5.74E-07;0;0
1600;9.60E-05;0.11107;0.029576;2.89E-07;1;0
1601;0.000106472;0.10829;0.025771;3.01E-07;1;0
1602;6.59E-05;0.10652;0.021511;1.88E-07;0;0
1603;6.91E-05;0.11159;0.02789;1.89E-07;0;0
1604;;;;;;
1605;0.000163413;0.094;0.030467;4.74E-07;1;0
1606;0.00043565;0.23787;0.052345;1.27E-06;1;0
1607;0.000492843;0.17704;0.055537;1.46E-06;1;0
1608;0.000538864;0.22288;0.063195;1.56E-06;1;0
1609;0.000429479;0.20235;0.051657;1.27E-06;1;0
1610;0.000457331;0.23968;0.057022;1.31E-06;1;0
1611;0.000733521;0.21056;0.052447;2.15E-06;1;0
1612;;;;;;
1613;0.000619971;0.13709;0.022818;1.81E-06;1;0
1614;0.000643571;0.13993;0.030481;1.88E-06;1;0
1615;0.000640736;0.13571;0.027962;1.88E-06;1;0
1616;0.000621917;0.13953;0.030397;1.81E-06;1;0
1617;0.00064094;0.14959;0.030433;1.87E-06;1;0
1618;0.000621081;0.14503;0.02515;1.82E-06;1;0
1619;0.000656922;0.13818;0.02573;1.90E-06;1;0
1620;;;;;;
1621;1.10E-06;0.00724;0.001486;3.25E-09;1;0
1622;1.15E-06;0.00755;0.001586;3.37E-09;1;0
1623;1.15E-06;0.00784;0.00136;3.36E-09;1;0
1624;1.16E-06;0.00774;0.001469;3.48E-09;1;0
1625;1.09E-06;0.00704;0.001289;3.21E-09;1;0
1626;1.09E-06;0.00753;0.001528;3.20E-09;1;0
1627;1.11E-06;0.00673;0.001271;3.22E-09;1;0
1628;;;;;;
1629;0.000699016;0.29;0.076429;2.05E-06;1;0
1630;0.00071857;0.31936;0.071075;2.14E-06;1;0
1631;0.000776858;0.28142;0.062927;2.33E-06;1;0
1632;0.000614626;0.24331;0.068884;1.78E-06;1;0
1633;0.000557449;0.24236;0.05868;1.62E-06;1;0
1634;0.000566346;0.21689;0.060863;1.69E-06;1;0
1635;0.000590605;0.26973;0.074661;1.76E-06;1;1
1636;;;;;;
1637;0.000500378;0.20504;0.052257;1.49E-06;1;0
1638;0.000345349;0.17896;0.045122;1.03E-06;1;0
1639;0.000330552;0.18052;0.046561;9.84E-07;1;0
1640;0.000314637;0.18897;0.043021;9.13E-07;1;0
1641;0.000442684;0.21848;0.059246;1.31E-06;1;0
1642;0.000303435;0.16981;0.043366;9.03E-07;1;0
1643;0.000352739;0.2169;0.065387;1.04E-06;1;1
1644;;;;;;
1645;0.000708693;0.20851;0.057865;2.05E-06;1;0
1646;0.00068683;0.19936;0.059797;2.03E-06;1;0
1647;0.000652113;0.16561;0.049174;1.91E-06;1;0
1648;0.00063228;0.16448;0.03693;1.83E-06;1;1
1649;0.000654856;0.18711;0.059036;1.89E-06;1;0
1650;0.000674623;0.21323;0.053805;1.97E-06;1;0
1651;0.000651138;0.16671;0.042704;1.90E-06;1;0
1652;;;;;;
1653;1.21E-06;0.00736;0.001514;3.52E-09;0;0
1654;1.13E-06;0.00713;0.001384;3.29E-09;1;0
1655;1.15E-06;0.00852;0.001565;3.39E-09;1;0
1656;1.10E-06;0.0082;0.00201;3.21E-09;1;0
1657;1.17E-06;0.00745;0.001878;3.41E-09;1;0
1658;1.14E-06;0.00695;0.001457;3.30E-09;1;0
1659;1.16E-06;0.00721;0.001606;3.37E-09;1;1
1660;;;;;;
1661;0.000822447;0.24283;0.068587;2.47E-06;1;1
1662;0.00070073;0.27068;0.067612;2.04E-06;1;1
1663;0.000700551;0.28248;0.079204;1.99E-06;1;0
1664;0.000676341;0.24387;0.071325;1.96E-06;1;0
1665;0.000704587;0.251;0.056558;2.05E-06;1;0
1666;0.000639253;0.2389;0.063145;1.87E-06;0;0
1667;0.000786688;0.28416;0.071185;2.30E-06;1;0
1668;0.000807299;0.22709;0.055195;2.43E-06;0;0
1669;;;;;;
1670;0.000390967;0.18187;0.041477;1.15E-06;1;0
1671;0.000407806;0.21936;0.062152;1.19E-06;1;0
1672;0.000267824;0.16675;0.046608;7.78E-07;1;1
1673;0.000378078;0.18783;0.048085;1.10E-06;1;1
1674;0.000364474;0.2015;0.056954;1.06E-06;1;1
1675;0.000350445;0.19398;0.047174;1.04E-06;1;0
1676;0.00037586;0.18409;0.043369;1.11E-06;1;0
1677;0.000728929;0.20012;0.051647;2.20E-06;1;0
1678;;;;;;
1679;0.00063851;0.17938;0.044548;1.86E-06;1;1
1680;0.000590093;0.15971;0.03398;1.74E-06;1;1
1681;0.000612677;0.19031;0.036711;1.78E-06;1;0
1682;0.000608665;0.15401;0.038659;1.78E-06;1;0
1683;0.000591531;0.14438;0.029604;1.75E-06;1;0
1684;0.000575812;0.15745;0.02729;1.69E-06;1;0
1685;0.000604599;0.14922;0.036735;1.77E-06;1;0
1686;0.000658558;0.18809;0.05658;1.98E-06;1;0
1687;;;;;;
1688;1.04E-06;0.00762;0.001507;3.10E-09;1;1
1689;1.04E-06;0.00704;0.001408;3.05E-09;1;1
1690;1.10E-06;0.00699;0.001411;3.20E-09;1;1
1691;1.07E-06;0.00747;0.001245;3.09E-09;1;1
1692;1.09E-06;0.00777;0.001596;3.23E-09;1;1
1693;1.50E-06;0.00822;0.002182;4.35E-09;1;0
1694;1.37E-06;0.00833;0.001903;4.07E-09;1;0
1695;1.19E-06;0.00708;0.00133;3.46E-09;1;0
1696;;;;;;
1697;1.11E-05;0.03308;0.006773;2.37E-08;0;0
1698;1.23E-05;0.03413;0.003664;3.34E-08;0;0
1699;2.15E-05;0.03938;0.005442;6.04E-08;0;1
1700;1.52E-05;0.03455;0.005948;4.50E-08;0;0
1701;1.98E-05;0.04155;0.009786;5.31E-08;0;0
1702;1.96E-05;0.03878;0.013301;5.80E-08;0;0
1703;1.90E-05;0.04199;0.011345;5.67E-08;0;0
1704;2.38E-05;0.03874;0.01481;7.08E-08;0;0
1705;1.36E-05;0.03268;0.01;3.82E-08;0;0
1706;1.44E-05;0.03544;0.008924;4.18E-08;0;1
1707;1.55E-05;0.04372;0.008461;4.52E-08;0;0
1708;;;;;;
1709;6.57E-06;0.01982;0.006417;1.90E-08;1;0
1710;2.61E-06;0.01708;0.005299;7.55E-09;1;0
1711;3.58E-06;0.02125;0.005655;1.06E-08;0;0
1712;3.88E-06;0.01818;0.006209;1.15E-08;1;0
1713;1.90E-06;0.01986;0.006191;5.44E-09;1;0
1714;3.91E-06;0.01785;0.004894;1.17E-08;1;0
1715;1.41E-06;0.01558;0.003822;4.16E-09;1;0
1716;2.01E-06;0.0143;0.005287;5.88E-09;1;0
1717;3.22E-06;0.01818;0.006173;9.15E-09;1;0
1718;;;;;;
1719;5.30E-06;0.01775;0.006351;1.52E-08;0;0
1720;1.76E-06;0.01201;0.004949;4.57E-09;1;0
1721;1.70E-06;0.01133;0.003506;4.77E-09;1;0
1722;1.86E-06;0.0141;0.00414;5.41E-09;1;0
1723;2.40E-06;0.01796;0.003856;6.68E-09;1;0
1724;6.27E-06;0.02201;0.005467;1.84E-08;1;0
1725;4.80E-06;0.02414;0.005138;1.40E-08;1;0
1726;3.76E-06;0.01964;0.00445;1.09E-08;1;0
1727;6.70E-06;0.02609;0.005679;1.96E-08;1;0
1728;4.84E-06;0.01631;0.003944;1.53E-08;1;0
1729;;;;;;
1730;0.005002329;0.6991;0.163972;1.50E-05;0;0
1731;0.005138317;0.71199;0.145308;1.49E-05;0;0
1732;0.00434298;0.65681;0.178435;1.30E-05;0;0
1733;0.003891585;0.57005;0.152132;1.16E-05;1;0
1734;0.004317247;0.66861;0.150807;1.29E-05;1;0
1735;0.004514136;0.6962;0.162378;1.35E-05;0;0
1736;0.004091824;0.51395;0.137097;1.19E-05;0;0
1737;0.004695771;0.61569;0.155832;1.40E-05;0;0
1738;0.005530507;0.58087;0.14272;1.67E-05;0;0
1739;;;;;;
1740;0.000675554;0.2077;0.046426;2.04E-06;0;0
1741;0.000562609;0.19891;0.047551;1.64E-06;0;0
1742;0.000592462;0.18162;0.047981;1.77E-06;0;0
1743;0.000532103;0.20105;0.045018;1.56E-06;0;0
1744;0.000614324;0.21642;0.049962;1.82E-06;0;0
1745;0.000669379;0.23594;0.05844;2.05E-06;0;0
1746;0.000671214;0.21583;0.056771;1.96E-06;0;0
1747;0.000600596;0.2053;0.044347;1.79E-06;0;0
1748;0.00058111;0.17758;0.052498;1.71E-06;0;0
1749;;;;;;
1750;0.007806354;0.71206;0.196497;2.32E-05;1;0
1751;0.008521358;0.8714;0.248107;2.51E-05;1;0
1752;0.006227425;0.69892;0.16754;1.81E-05;1;0
1753;0.006574115;0.7;0.195411;1.95E-05;1;0
1754;0.007877472;0.8772;0.228356;2.31E-05;1;0
1755;0.006993311;0.77026;0.220238;2.08E-05;1;0
1756;0.007597063;1.01846;0.200907;2.22E-05;1;0
1757;0.007290814;0.81814;0.218572;2.12E-05;1;0
1758;0.010581538;0.71618;0.188522;3.18E-05;0;0
1759;;;;;;
1760;0.000534294;0.25988;0.031286;1.55E-06;0;0
1761;0.000426129;0.20183;0.025242;1.25E-06;0;0
1762;0.000439943;0.20912;0.028917;1.30E-06;1;0
1763;0.000392087;0.19215;0.02835;1.17E-06;0;0
1764;0.000411987;0.22882;0.03128;1.22E-06;0;0
1765;0.000411936;0.20268;0.029867;1.24E-06;1;0
1766;0.000433934;0.24856;0.02885;1.29E-06;0;0
1767;0.000460576;0.19783;0.024561;1.36E-06;0;0
1768;0.000746467;0.20906;0.029996;2.30E-06;0;0
1769;;;;;;
1770;0.004409001;0.69387;0.154776;1.33E-05;0;0
1771;0.003786365;0.70776;0.170407;1.10E-05;0;0
